company,description,address,website,email,phone,products
2v3 Farm,"We are a small homeschool garden located in the heart of Winnemucca, Nevada! We hold our USDA producers certificate and specialize in tomatoes and peppers, offering a wide variety—plus so many more delicious fresh picked options!","220 Pleasant St, Winnemucca, NV 89445",https://2v3-farm.business.site/,2v3farm@gmail.com,775-990-2322,"basil, broccoli, cantaloupe, carrots, cauliflower, cilantro, green beans, herbs, hot peppers, melons, onions, peppers, potatoes, pumpkins, summer squash, sweet corn, sweet peppers, tomatoes, winter squash, zucchini"
A&J Farms,"Here at A & J Farms, we deliver high-quality, flavorful nutritious foods to you. Together, as a family, we are working to build a sustainable, suburban farm that works with our arid Nevada climate by building infrastructure that protects the plants from harsh winds and sun, composting to bring organic matter into the soil, incorporating native plants into the farm landscape, and using automation to regulate our water and electricity use. You can trust us to provide you with incredibly delicious and nutritious foods for your family and restaurant, and you can rest assured that we have sustainability and nature in the forefront of our minds.
Here at A&J Farms: Lettuce Do Your Growing.","1065 Sage St, Fernley, NV 89408",https://www.ajsierrafarms.com/,info@ajsierrafarms.com,703-554-3559,microgreens
Accelerate Farms & Microgreens,"Enjoy apples, cherries, blackberries, melons and more, fresh from our farm!","1280 Copper Springs Ct, Carson City, NV 89703",None,handelinlaw@gmail.com,775-881-8830,"apples, blackberries, cherries, melons"
Al Bees,"Albert Sindlinger first started beekeeping in Elko County, producing Ruby Mountain honey back when he only had about 25 hives. In 2006, he moved with his wife and partner Ursula to Reno. The 25 hives were relocated and have multiplied to 125 hives.
Did you know that an average hive is home to about 50,000 bees? Multiply that by 235 and you know how many bees produce Al Bees local honey. Look for Al Bees honey at farmers markets, local retailers or online at our website.","P.O. Box 19211, Reno, Nv 89511",http://www.sierranevadahoney.biz/,albertsindlinger@yahoo.com,775-686-0323,honey
Albaugh Ranch,"Norris and Suzie Albaugh are fifth-generation Albaugh ranchers with three gorgeous children who love working the cattle with daddy and papa when not helping out with other chores. Even the kids can tell you what each calf is is and who it belongs to. The Albaughs love the gentle and docile nature of their native Shorthorn cattle.
Their ranch has been raising native, grass-fed, purebred Shorthorn cattle since 1946.  The ranch offers a variety of products and services including cattle (bulls and heifers), semen and lamb. All of their animals are raised and finished on grass.  No grain ever enters their system. The Albaughs take pride in the meat of their Shorthorns, fine- textured and tasty, providing for an exceptional eating experience. We hope you enjoy your visit to their corner of the world.","5177 Indian Lakes Rd., Fallon, NV 89406",http://www.albaughranch.com/,albaugh2345@yahoo.com,(775) 423-3361,"beef, lamb"
Alfalfa King,"We at Alfalfa King are proud of our family-owned and operated company. We grow our hay in central and western Nevada where the high altitude and arid climate are perfect for growing and harvesting hay. Our hays are double compressed for freshness and hand-packed to ensure quality.
Alfalfa King hay is a natural food source for your pets. You can be sure that our alfalfa (which means King of the Roots), timothy grass and other hays are produced in the most environmentally-friendly and natural way possible.
Small animals that eat our hay include herbivores such as the rabbit, guinea pig, chinchilla, hamster and prairie dog or herptiles such as the tortoise.
Visit our website to learn more about our hays, and call us to order for your favorite pets. We distribute our product throughout the world.","HC 72, Dyer, NV 89010",http://www.alfalfaking.com/,emark@alfalfaking.com,888-682-8170,"grapes, hay/straw, lavender, pet food"
Alpine Farms,"Alpine Farms is located in Gardnerville, Nevada, at the base of the Sierra Nevada Mountains — literally. We get cold and snow and rain and heat — and lots of sun. We have been farming for more than two decades and are working hard to develop and grow the farm into a complete food source farm using organic practices and catering to the health-conscious connoisseur.
Currently at the farm, we offer four varieties of pine trees for landscaping: Austrian, Jeffrey Pine, Ponderosa and Giant Cedar Redwoods.
And we are developing our farm to soon be offering ancient grains (gluten free), as well as Angus beef, pigs, sheep and goats. We are creating a large greenhouse full of herbs and will also be offering some produce, including a unique table grape.","134 Fredericksburg Rd., Gardnerville, NV 89460",http://alpinefarms.org/,info@alpinefarms.org,775-848-1300,"hay/straw, plants"
Alpine Ranch,"The Casey family has been raising beef cattle in the Clan Alpine Mountains and other surrounding areas for more than 50 years. Our cattle are grass-fed and grass-finished.
Along with cattle, we also raise heritage pigs that are raised with plenty of room to roam, root, play in the mud, and be a pig. We do not use antibiotics to promote growth or to control or mask disease by putting antibiotics in feed. Our cattle and pigs are not administered growth hormones.
Alpine Ranch offers pork shares and beef bundles to individuals and restaurants and Our Local Basket, a CSA program that includes fresh produce and more.","Fallon, NV 89406",http://www.alpine-ranch.com/,christie@alpine-ranch.com,775-240-7273,"beef, pork"
Andelin Family Farm,"Greetings from Cameron, Natalie and the Andelin family. Our farm had its beginnings in the 1980s when Cameron’s dad bought the farm from the Gaspari family. We moved to the farm in 2009 to raise our five kids and to be able to experience the work and fun of living on a farm.
We want to share farm life with our community, and we invite you to visit us during our farm events. Our two main events of the year are the fall harvest festival where we have a pumpkin patch and corn maze and Baby Animal Days in the spring when you can meet the farm babies!  We also host a summer farm camp for kids, educational field trips, weddings, birthday parties and sell farm raised meats and produce.
Fresh from the farm, we also have pork, beef, fresh produce, seasonal veggies, eggs, honey and Natalie’s amazing jams and jellies. Come visit us and experience life on a Nevada farm!","8100 Pyramid Hwy, Sparks, NV 89436",http://www.andelinfamilyfarm.com/,andelinfamilyfarm@gmail.com,775-425-6315,"beef, carrots, corn, eggs, honey, hot peppers, jams/jellies, kale, pork, pumpkins, spinach, tomatoes"
Avanzino Farms,"Avanzino Farms, managed by Doug Avanzino, is the last generational family-owned farm in Reno city limits. Doug’s grandfather, Jack Avanzino, purchased the property in 1925 and grew greens, onions, potatoes and ran a dairy. Today, Doug grows a variety of vegetables along with hay and cattle, and his farm provides a beautiful farmscape in the midst of urban Reno.","4580 Mill Street, Reno NV 89502",None,Douglasavanzino@yahoo.com,775-287- 6978,"basil, beef, corn, cucumbers, dill, fresh herbs, hay/straw, pickles, potatoes, pumpkins, summer squash, sweet corn, winter squash, zucchini"
Backyard Farms,"Back Yard Farms is a micro-farm in an urban setting practicing principles of local, organic, and sustainable farming demonstrating how one can incorporate an edible landscape into a yard.  We grow a variety of unique gourmet vegetables and supply to select local restaurants.","5485 Fenno Way, Reno, NV 89519",None,beckett.johnson@charter.net,775-747-1187,"eggplant, garlic, green beans, lettuce, onions, summer squash, tomatoes, winter squash"
Bella Vista Berry Farm,"Bill and Raquel (Rocky) Barth have been married for 48 years, and both came out of the Silicon Valley business environment. They also had a horse training/boarding operation in Gilroy, California, grown out of Raquel’s love of horses and all animals. When retirement came, they moved to Minden and settled in on 10 acres.
Farming soon called them out of retirement in their quest for fresh, local food. In addition to their famous berries and tomatoes, they grow a variety of vegetables. And they bake up some of the best pies and cinnamon rolls in Nevada!","2685 Billy's Road, Minden, NV 89423",http://bellavistafarmllc.com/,bill@bellavistafarmllc.com,775-230-4065,"arugula, basil, blackberries, carrots, cucumbers, eggplant, herbs, kale, lettuce, onions, peppers, radish, raspberries, tomatoes"
Bently Ranch,"Bently Ranch got its start in 1997, when father and son Donald and Christopher Bently founded the ranch. In 2012, Christopher instituted the cattle program. Over the last several years we have focused on sustainable farming, aiming to grow a variety of crops that are used in the distilling industry.
We cultivate this land from beginning to end: we operate one of the region’s largest composting programs, and supply a finished product of estate-grown grains to brewers and distillers. All told, we grow up to 2,700 acres of wheat, rye, barley, hops, and oats.
Our sister company, Bently Heritage Estate Distillery, exclusively uses our grains and botanicals to create some of the world’s finest spirits.
These 50,000 acres of beautiful land are a pristine part of the Northern Nevada and California landscape. It’s a place we’re privileged to care for.","1089 Stockyard Road, Minden, NV 89423",http://www.bentlyranch.com/,woody@bentlyranch.com,(775) 782-4513,"barley, corn, hops, oats, rye, wheat"
Black Rock Bison,"Jeff and Tracy Herrick have been raising bison since 2011. The bison are raised and finished on grass, no grain finishing. USDA regulations do not allow bison to be raised using growth hormones, and testing is conducted at the time of harvest to ensure that this is the case.
Orders can be placed by phone, text, email or via the website. You can also find their bison at the Great Basin Community Food Co-op in Reno or at the Carson City Saturday morning farmers market during the summer.","2863 Nye Drive, Minden, Nevada 89423",http://www.blackrockbison.com/,blackrockbison@gmail.com,775-742-4346,bison
Blind Duck Homestead,The Blind Duck Homestead is a small farm in the high desert of Northern Nevada. Our farming/ranching roots run deep. We will be expanding to offer more.,"10560 Geurts Ln., Silver Springs, NV 89429",None,blindduckhomestead@gmail.com,530-401-3099,"broccoli, cucumbers, dill, eggs, flowers, green beans, kale, onions, peppers, potatoes, pumpkins, summer squash, tomatoes"
Bloomin’ Desert Herb Farm,"So much can be grown in Nevada! We have been farming at Bloomin Desert Herb Farm since 1997, raising over 50 types of culinary and medicinal herbs and flowers. We make herbal teas for your health and seasonings to cook with, all from the crops that we grow. Our farm has converted our entire available space around our home for growing, along with two hoop houses for yearlong growing. Call 702-301-8996 for directions.","208 Trenier Drive, Henderson, NV 89002",None,bloomindesert1@yahoo.com,702-501-5470,"edible flowers, fresh herbs, medicinal herbs"
Blue Lizard Farm,"Offering custom growing and consultations for the hemp industry.
Blue Lizard Farm is in Lincoln County, Nevada, 150 miles north and 2500 feet higher than Las Vegas. It’s a little cooler in the summer and a lot colder in the winter, and probably couldn’t be any more different than what usually springs to mind when people think of “Vegas”. The county is nearly the size of Vermont, but with only 5500 people spread over six towns.
There isn’t a single traffic light in the whole county. It’s the kind of place where, for good or bad, everyone knows everyone. If you’re ever not sure what you’re doing, just ask your neighbor, because they’ll tell you. Kids run around being kids, and people chat in the grocery stores and post offices. There are parades down main street, fundraiser barbecues for the volunteer firemen and the VFW, and Little League games in the parks. It’s a pretty amazing place.
We came to Lincoln County in 2005, after spending six years in Las Vegas doing Africanized bee removal. Rodney is a self-taught beekeeper who began keeping bees in Tucson, AZ in 1992, about the same time Africanized bees became an issue in Southern Arizona. We did bee removal in Tucson for several years, then moved north with the Africanized bees to Las Vegas in 1999.
During our time in Vegas, Rodney had the opportunity to become a beekeeper for the University of Nevada, Las Vegas, maintaining research colonies for the Biology Department. It was there that we began to rekindle an interest in agriculture and a desire to get out of the city. When the chance to sell our business and start over on a new adventure appeared, well, we jumped on it and didn’t look back. We bought ten acres of sagebrush, saltbush, tumbleweed, assorted critters, and nothing else. We sunk a well, put in utilities, and set about trying to find a way to support ourselves off a small patch of desert.
And this is where we are today. We’ve got 13 20’×96’ steel-frame hoop houses and a state-inspected packaging facility. For several years, we grew a wide variety of produce, selling to Las Vegas restaurants. In 2017, we switched from growing vegetables to growing hemp which can be used both for its fiber and medicinal purposes. Hemp is a new and growing industry in Nevada, and we are excited to be one of the first Nevada hemp growers.","HC 34 Box 52, Caliente, NV 89008",http://www.bluelizardfarm.com/,christina_mehring@yahoo.com,775-962-2438,hemp
